slug,name,city,state,latitude,longitude,category,public_access,source,timezone,verified_at
10-foot-high-robot-head,10-Foot-High Robot Head,Columbia,SC,34.00043,-81.0163,roadside-oddities,roadside,https://www.roadsideamerica.com/tip/85881,America/New_York,2026-09-09T05:53:13.784429+00:00
100th-meridian-historical-marker,100th Meridian Historical Marker,Cozad,NE,40.85695,-99.98501,roadside-oddities,roadside,https://history.nebraska.gov/marker-monday-the-100th-meridian/,America/Chicago,2026-09-10T04:05:59.654525+00:00
12-foot-tall-pear,12-Foot-Tall Pear,Boston,MA,42.31998,-71.06216,roadside-oddities,roadside,https://www.roadsideamerica.com/location/ma,America/New_York,2026-09-09T04:43:56.902716+00:00
12th-armored-division-memorial-museum,12th Armored Division Memorial Museum,Abilene,TX,32.44895,-99.73357,museums,open,https://www.12tharmoreddivisionmuseum.com/,America/Chicago,2026-09-09T15:39:42.513669+00:00
13th-floor-haunted-house,Fear Columbus Haunted House,Columbus,OH,40.08219,-82.948515,haunted,limited,https://fearcolumbus.com/,America/New_York,2026-09-05T22:12:28.444612+00:00
13th-hour-haunted-house,13th Hour Haunted House,Wharton,NJ,40.905432,-74.586599,haunted,limited,https://13thhour.com/,America/New_York,2026-09-05T22:12:28.444612+00:00
16th-street-baptist-church,16th Street Baptist Church,Birmingham,AL,33.51658,-86.81479,weird-history,limited,https://16thstreetbaptist.org/,America/Chicago,2026-09-09T12:59:35.538091+00:00
1754-house-former-curtis-house-inn,1754 House — Former Curtis House Inn,Woodbury,CT,41.53321,-73.20639,haunted,open,https://www.hauntedplaces.org/item/curtis-house-restaurant-and-inn/,America/New_York,2026-09-08T18:47:23.721893+00:00
1790-footprints-kau-desert-trail,1790 Footprints — Kaʻū Desert Trail,Volcano,HI,19.36806,-155.36694,weird-history,limited,https://www.nps.gov/havo/planyourvisit/hikes_day.htm,Pacific/Honolulu,2026-09-10T18:11:03.493189+00:00
18-foot-fish-made-of-dining-utensils,18-Foot Fish Made of Dining Utensils,Mystic,CT,41.35497,-71.96805,roadside-oddities,open,https://www.roadsideamerica.com/tip/81872,America/New_York,2026-09-08T19:51:22.001704+00:00
1881-courthouse-museum,1881 Courthouse Museum,Custer,SD,43.76623,-103.6015,weird-history,limited,https://www.1881courthousemuseum.org/,America/Denver,2026-09-10T18:11:24.763182+00:00
1886-crescent-hotel,1886 Crescent Hotel,Eureka Springs,AR,36.40836,-93.73733,haunted,open,https://crescent-hotel.com/,America/Chicago,2026-09-11T01:01:36.216936+00:00
1892-bishops-palace,1892 Bishop's Palace,Galveston,TX,29.30506,-94.77672,haunted,open,https://www.galvestonhistory.org/sites/1892-bishops-palace,America/Chicago,2026-09-09T15:39:42.513669+00:00
1910-us-population-center-marker,1910 U.S. Population Center Marker,Bloomington,IN,39.16683,-86.5342,weird-history,open,https://www.nps.gov/nr/feature/places/pdfs/76000013.pdf,America/Indiana/Indianapolis,2026-09-08T13:53:25.695107+00:00
1921-standard-oil-gas-station,1921 Standard Oil Gas Station,Bowling Green,KY,36.9955,-86.43878,weird-history,open,https://www.roadsideamerica.com/tip/69146,America/Chicago,2026-09-08T14:42:00.461026+00:00
1938-police-station-archway,1938 Police Station Archway,Aiken,SC,33.56005,-81.7209,roadside-oddities,open,https://www.roadsideamerica.com/tip/66815,America/New_York,2026-09-09T05:53:13.784429+00:00
1940-air-terminal-museum,1940 Air Terminal Museum,Houston,TX,29.64543,-95.28689,museums,open,https://www.1940airterminal.org/,America/Chicago,2026-09-09T15:39:42.513669+00:00
1946-nashua-dodgers-mural,1946 Nashua Dodgers Mural,Nashua,NH,42.75751,-71.46598,weird-history,open,https://www.atlasobscura.com/places/1946-nashua-dodgers-mural,America/New_York,2026-09-09T04:49:39.808526+00:00
1964-worlds-fair-general-foods-arch,1964 World's Fair General Foods Arch,Warwick,RI,41.68775,-71.3683,roadside-oddities,open,https://www.roadsideamerica.com/tip/56662,America/New_York,2026-09-09T04:49:27.913704+00:00
20-foot-california-raisin,20-Foot California Raisin,Egg Harbor Township,NJ,39.36549,-74.59592,roadside-oddities,roadside,https://www.roadsideamerica.com/tip/22811,America/New_York,2026-09-08T17:48:18.566953+00:00
20-foot-poseidon-tree-sculpture,20-Foot Poseidon Tree Sculpture,Searsport,ME,44.46542,-68.91053,roadside-oddities,roadside,https://www.roadsideamerica.com/tip/89762,America/New_York,2026-09-09T04:54:23.476824+00:00
217-terror-haunted-house,217 Terror Haunted House,Roodhouse,IL,39.485916,-90.372725,haunted,limited,https://217terror.com/,America/Chicago,2026-09-05T22:12:28.444612+00:00
24-hour-prayer-teepee,24 Hour Prayer Teepee,Apache,OK,34.8939,-98.3657,roadside-oddities,open,https://www.travelok.com/listings/view.profile/id.22676,America/Chicago,
25-foot-hanuman-statue,25-Foot Hanuman Statue,Hockessin,DE,39.79063,-75.68812,roadside-oddities,open,https://www.roadsideamerica.com/story/74093,America/New_York,2026-09-08T18:31:51.932734+00:00
27-foot-blue-deity-omkaar-temple,27-Foot Blue Deity — Omkaar Temple,Fort Wayne,IN,41.123,-85.3435,roadside-oddities,limited,https://www.roadsideamerica.com/story/74029,America/Indiana/Indianapolis,2026-09-08T13:53:25.695107+00:00
