category,name,latitude,longitude,city,state,osm_url,matched_keyword,km_to_town,review
cryptids,Skunk Ape Center and Museum,25.893918,-81.278523,Marco Island,FL,https://www.openstreetmap.org/node/10210835917,,44.3,far from any town
cryptids,Bigfoot Lookout,33.815056,-117.918628,Anaheim,CA,https://www.openstreetmap.org/node/10962908264,,2.3,
cryptids,Expedition: Bigfoot - The Sasquatch Museum,34.802273,-84.376175,Cherry Log,GA,https://www.openstreetmap.org/way/380684000,,,
cryptids,Bigfoot Museum,37.041437,-122.072526,Felton,CA,https://www.openstreetmap.org/node/797799539,,1.1,
cryptids,Sasquatch - Photo Opp,37.036099,-88.271112,Calvert City,KY,https://www.openstreetmap.org/node/12893412684,,7.0,
cryptids,Mothman Statue,38.842573,-82.13852,Point Pleasant,WV,https://www.openstreetmap.org/node/5328446004,,0.3,
cryptids,Mothman Museum,38.842731,-82.138529,Point Pleasant,WV,https://www.openstreetmap.org/way/904768521,,,
cryptids,Bigfoot Trap,42.056587,-123.137225,Williams,OR,https://www.openstreetmap.org/node/10817099005,,21.3,
cryptids,Southern Oregon Bigfoot Experience,42.167613,-123.646048,Cave Junction,OR,https://www.openstreetmap.org/node/11343789706,,,
cryptids,Bigfoot Statue,40.93882,-123.628581,Willow Creek,CA,https://www.openstreetmap.org/node/13526912734,,0.3,
cryptids,Museum Bigfoot Statue,40.940121,-123.632084,Willow Creek,CA,https://www.openstreetmap.org/node/13527671968,,0.1,
cryptids,Gonzalez Bigfoot Statue,40.939748,-123.631694,Willow Creek,CA,https://www.openstreetmap.org/node/13531160722,,0.0,
cryptids,Willow Creek-China Flat Museum & Bigfoot Collection,40.940229,-123.63207,Willow Creek,CA,https://www.openstreetmap.org/way/776346735,,,
cryptids,Big Boot,41.133566,-104.82535,Cheyenne,WY,https://www.openstreetmap.org/node/14090479377,,0.8,
cryptids,Jersey Devil,40.13439,-74.443789,Shrewsbury,NJ,https://www.openstreetmap.org/node/12859899266,,9.0,
cryptids,Bigfoot Cabin (ruins),39.695892,-76.249272,Susquehanna Trails,PA,https://www.openstreetmap.org/way/383618052,,12.3,
cryptids,North American Bigfoot Center,45.431789,-122.340251,Sandy,OR,https://www.openstreetmap.org/node/8868908017,,7.2,
cryptids,Surfing Sasquatch,44.979731,-124.013634,Lincoln City,OR,https://www.openstreetmap.org/node/13021851179,,2.4,
cryptids,Bigfoot,45.36042,-122.856409,Sherwood,OR,https://www.openstreetmap.org/node/13670202967,,1.3,
cryptids,Bigfoot Pass Overlook,43.795913,-102.046085,Philip,SD,https://www.openstreetmap.org/node/422386081,,40.8,far from any town
cryptids,Pixel Yeti,44.886268,-93.401937,Edina,MN,https://www.openstreetmap.org/node/6802602198,,4.1,
cryptids,Sasquatch,42.531314,-83.315132,Franklin,MI,https://www.openstreetmap.org/node/12664732006,,1.3,
cryptids,Sasquatch Pushing Over a House,47.664314,-122.319674,Seattle,WA,https://www.openstreetmap.org/node/3211770268,,6.5,
cryptids,Sasquatch Steps,46.226284,-122.185263,Morton,WA,https://www.openstreetmap.org/node/5535204373,,37.6,
cryptids,Ferry Fever,47.566984,-122.630788,Bremerton,WA,https://www.openstreetmap.org/node/12672661145,,0.1,
cryptids,The Yeti,47.275547,-120.428416,South Wenatchee,WA,https://www.openstreetmap.org/node/9634773055,,16.5,
cryptids,Chamber of Commerce Hodag,45.632178,-89.423039,Rhinelander,WI,https://www.openstreetmap.org/node/2876677463,,1.0,
cryptids,Hodag,45.655123,-89.400556,Rhinelander,WI,https://www.openstreetmap.org/node/7815427682,,2.2,
cryptids,Sasquatch Statue,48.995582,-122.75162,Blaine,WA,https://www.openstreetmap.org/node/10065644288,,0.4,
cryptids,Striding Sasquatch,49.007815,-119.336793,,,https://www.openstreetmap.org/node/7880282908,,,"outside the US (nearest: Osoyoos, CA)"
cryptids,Sasquatch Caves,49.358345,-121.458832,,,https://www.openstreetmap.org/node/12257883036,,,"outside the US (nearest: Hope, CA)"
cryptids,Sasquatch Inn,49.251543,-121.957484,,,https://www.openstreetmap.org/way/90699809,,,"outside the US (nearest: Chilliwack, CA)"
